CENTRALE;CODE_SOCIETE;LIBELLE_SOCIETE;CODE_CLIENT_BCP;POLE_AFFILIANT;FOURNISSEUR;NOM_FOURNISSEUR;REGROUPEMENT;CA_DECLARE_FRN;CA_FRN_CRF;TOTAL_CA_DECLARE_FRN;TOTAL_ENCAISSE;MTT_A_REVERSER_DIFF;MTT_A_REV_DIFF_HORS_SYN;MTT_A_REVERSER_BCP;ECART_MTT_A_REVERSER;MTT_PREVISION_AVEC_SYNERGIE;MTT_PREVISION_HORS_SYNERGIE;Cdfop;Norca;Cient;Cdprolog;Lbetblba;Activite;Code_Ent_BCP;Libelle_entrepot;SOURCES;Carpr;Mteca;_Ca_Bn;_Ristourne_Prolog;Ecart_CA;%CA;Ecart_Ristourne;%Ristourne;DATE
CAP;144;C.S.F.              ;31097;ENT GR;97123;SOURCES ALMA FACTURA;2;0;1772602,24;0;7085627,26;0;0;0;0;255132,01;228011,18;97123;2;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;1766451,05;-7684,19;1774135,24;255352,718;1533;0,00086483;220,707972;0,000865074;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;97123;SOURCES ALMA FACTURA;3;0;1781113,88;0;6798938,19;0;0;0;0;507319,76;448543,01;97123;3;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;1773819,03;-5730,67;1779549,7;506864,232;-1564,18;-0,000878203;-455,5279539;-0,000897911;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;97123;SOURCES ALMA FACTURA;15;0;60461,18;0;287071,41;0;0;0;0;6741,44;6439,13;97123;15;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;56543,97;-3374,12;59918,09;6680,867035;-543,09;-0,008982458;-60,572965;-0,008985167;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;97581;BRASSERIE GOUDALE   ;3;0;1011871,95;0;8959032,42;0;0;0;0;356972,46;346853,73;97581;3;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;1005951,91;1598,83;1004353,08;354276,988;-7518,87;-0,007430654;-2695,47198;-0,007550924;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;98495;SA CACOLAC          ;2;0;74877,65;0;283374,27;0;0;0;0;15724,32;12729,21;98495;2;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;74957,69;0;74957,69;15741,1149;80,04;0,001068944;16,7949;0,001068084;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;195;KAMBLY              ;1;0;364708,56;250345,16;1808162,94;0;0;0;0;127789,03;98612,35;195;1;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;367958,58;3717,37;364241,21;127621,2463;-467,35;-0,001281434;-167,783742;-0,001312975;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;195;KAMBLY              ;13;0;112899,51;0;47190;0;0;0;0;3409,56;3409,56;195;13;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;149591,43;650,31;148941,12;3328,039396;36041,61;0,319236195;-81,520604;-0,023909421;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;301;LOTUS BAKERIES FRANC;2;0;659635,1;338726,76;2647066,54;0;0;0;0;252077,86;223221,76;301;2;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;656597,85;-394,18;656992,03;251048,4238;-2643,07;-0,004006867;-1029,436196;-0,004083803;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;592;REGILAIT            ;1;0;610126,54;319408,01;2362280,63;0;0;0;0;172505,33;133637,68;592;1;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;568089,01;780,19;567308,82;160263,9968;-42817,72;-0,070178426;-12241,33316;-0,070962058;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1310;JOHNSON JOHNSON SANT;1;0;581368,15;0;8982226,15;0;0;0;0;220462,79;191394,37;1310;1;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;579725,67;0;579725,67;219832,3738;-1642,48;-0,002825198;-630,4161985;-0,002859513;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1310;JOHNSON JOHNSON SANT;4;0;131858,43;0;3201790,62;0;0;0;0;56913,08;45776,96;1310;4;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;131594,51;0;131594,51;56797,84772;-263,92;-0,002001541;-115,2322774;-0,002024706;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1310;JOHNSON JOHNSON SANT;8;0;750064,92;0;3774631,7;0;0;0;0;283302,94;238299,04;1310;8;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;742941,88;87,12;742854,76;280679,8106;-7210,16;-0,009612715;-2623,12936;-0,009259097;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1310;JOHNSON JOHNSON SANT;11;0;150099,59;0;1867955,67;0;0;0;0;54516,49;48512,51;1310;11;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;150097,45;0;150097,45;54515,69003;-2,14;-1,43E-05;-0,799975;-1,47E-05;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1339;DR OETKER ANCEL     ;2;0;263833,1;0;1059829,06;0;0;0;0;79598,43;64051,18;1339;2;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;262527,76;1466,18;261061,58;78762,27869;-2771,52;-0,010504823;-836,151314;-0,010504621;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1339;DR OETKER ANCEL     ;10;0;20662,6;0;1127370,47;0;0;0;0;2729,51;2026,97;1339;10;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;20344,55;79,36;20265,19;2677,031599;-397,41;-0,019233301;-52,478401;-0,019226308;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1340;ANDROS FRANCE       ;1;0;2201735,27;1076025,01;7216185,26;0;0;0;0;632746,08;532576,74;1340;1;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;2207084,27;9623,01;2197461,26;632280,1154;-4274,01;-0,001941201;-465,964616;-0,000736416;30/09/2022
CAP;144;C.S.F.              ;31375;ENT GR;1340;ANDROS FRANCE       ;38;0;181446,42;76937,98;629979,44;0;0;0;0;50417,24;42433,6;1340;38;174;174;AULNAY AB BRAS;LIQU;31375;AULNAY BRA;NR;181082,5;2316,61;178765,89;49688,93602;-2680,53;-0,014773121;-728,303981;-0,014445535;30/09/2022
